"región";"año_2020";"año_2021";"año_2022";"año_2023"
"TOTAL";"1737";"2338";"2650";"2212"
"NOA";"603";"1237";"1164";"1129"
"Norte";"329";"211";"217";"83"
"NEA";"159";"116";"296";"163"
"Centro";"252";"435";"579";"237"
"Pampeana";"200";"140";"279";"184"
"Patagonia";"194";"199";"115";"416"
