"mes";"año_2020";"año_2021";"año_2022";"año_2023"
"Enero";"125";"78";"176";"253"
"Febrero";"82";"31";"133";"122"
"Marzo";"173";"47";"33";"95"
"Abril";"74";"23";"54";"22"
"Mayo";"92";"17";"51";"19"
"Junio";"100";"29";"133";"36"
"Julio";"242";"376";"409";"118"
"Agosto";"286";"785";"463";"464"
"Septiembre";"191";"423";"496";"360"
"Octubre";"143";"328";"288";"448"
"Noviembre";"130";"111";"194";"179"
"Diciembre";"99";"119";"226";"96"
